customer_id,age,tenure_months,monthly_charges,contract,churn
cust-101,50,60,48.39,two-year,0
cust-102,54,39,81.58,one-year,1
cust-103,38,18,35.50,month-to-month,1
cust-104,57,62,32.17,month-to-month,1
cust-105,56,9,31.22,two-year,1
cust-106,66,51,31.93,month-to-month,0
cust-107,41,20,51.30,month-to-month,0
cust-108,31,33,38.19,one-year,0
cust-109,57,37,35.01,two-year,0
cust-110,46,34,21.60,one-year,0
cust-111,38,67,89.51,month-to-month,0
cust-112,67,36,114.27,one-year,0
cust-113,19,17,96.29,month-to-month,0
cust-114,73,24,52.33,two-year,0
cust-115,66,29,83.34,two-year,0
cust-116,28,26,55.58,two-year,0
cust-117,46,19,40.94,month-to-month,0
cust-118,59,1,21.33,one-year,0
cust-119,54,15,67.81,two-year,0
cust-120,63,3,88.64,month-to-month,1
cust-121,48,14,60.43,month-to-month,0
cust-122,33,59,97.11,month-to-month,1
cust-123,38,24,112.37,two-year,0
cust-124,43,44,112.37,two-year,0
cust-125,45,53,76.13,one-year,0
cust-126,76,63,27.15,two-year,0
cust-127,50,52,115.48,one-year,0
cust-128,24,56,62.45,month-to-month,1
cust-129,44,22,64.96,one-year,0
cust-130,40,24,41.81,one-year,0
cust-131,25,26,65.54,one-year,0
cust-132,62,50,106.21,two-year,1
cust-133,56,33,53.64,month-to-month,1
cust-134,63,30,32.87,two-year,0
cust-135,45,24,103.23,month-to-month,0
cust-136,23,69,35.79,two-year,0
cust-137,58,53,47.33,one-year,0
cust-138,31,41,39.18,two-year,0
cust-139,24,52,32.23,month-to-month,0
cust-140,55,11,98.24,month-to-month,0
cust-141,48,9,116.00,one-year,0
cust-142,63,54,81.06,month-to-month,0
cust-143,56,64,23.23,one-year,0
cust-144,33,16,52.18,one-year,0
cust-145,54,1,99.54,two-year,0
cust-146,44,31,77.10,month-to-month,1
cust-147,34,56,68.48,one-year,1
cust-148,77,45,112.13,two-year,0
cust-149,23,63,27.98,two-year,0
cust-150,59,18,85.27,two-year,0
cust-151,30,32,60.67,two-year,0
cust-152,39,39,39.19,month-to-month,0
cust-153,74,23,87.74,month-to-month,0
cust-154,55,60,87.87,month-to-month,1
cust-155,73,20,45.42,month-to-month,1
cust-156,71,49,69.63,two-year,0
cust-157,72,14,68.06,two-year,0
cust-158,39,65,35.68,two-year,0
cust-159,21,53,115.50,one-year,0
cust-160,53,61,86.53,two-year,0
cust-161,22,66,83.09,two-year,0
cust-162,56,13,60.23,one-year,1
cust-163,43,45,38.05,two-year,0
cust-164,76,53,24.86,one-year,0
cust-165,35,69,79.56,month-to-month,1
cust-166,38,26,26.60,one-year,0
cust-167,38,54,69.66,month-to-month,1
cust-168,52,17,100.76,month-to-month,1
cust-169,46,43,60.27,month-to-month,1
cust-170,57,41,100.56,two-year,0
cust-171,67,7,79.82,two-year,0
cust-172,24,61,107.91,two-year,0
cust-173,74,9,93.57,two-year,1
cust-174,53,20,67.20,one-year,1
cust-175,36,71,85.72,month-to-month,1
cust-176,34,36,54.30,one-year,0
cust-177,74,25,106.88,month-to-month,0
cust-178,42,32,38.23,month-to-month,1
cust-179,36,2,50.64,one-year,1
cust-180,63,26,60.67,one-year,1
cust-181,40,35,70.18,two-year,0
cust-182,22,11,59.03,one-year,0
cust-183,77,5,86.36,two-year,1
cust-184,37,38,64.39,two-year,0
cust-185,41,13,60.26,two-year,1
cust-186,75,46,25.04,two-year,0
cust-187,63,37,86.84,one-year,0
cust-188,22,49,79.09,one-year,0
cust-189,27,13,46.74,two-year,0
cust-190,23,35,78.30,two-year,0
cust-191,45,37,81.61,two-year,0
cust-192,69,71,105.68,month-to-month,1
cust-193,19,29,63.63,one-year,0
cust-194,40,57,111.22,month-to-month,0
cust-195,63,60,69.57,one-year,0
cust-196,20,35,73.92,one-year,0
cust-197,50,40,25.58,month-to-month,0
cust-198,76,52,118.26,two-year,0
cust-199,46,51,105.77,one-year,0
cust-200,59,57,110.49,one-year,0
cust-201,22,47,86.33,month-to-month,0
cust-202,54,25,29.57,one-year,1
cust-203,32,32,37.67,two-year,0
cust-204,34,35,91.28,month-to-month,0
cust-205,28,46,77.46,month-to-month,0
cust-206,74,14,103.37,two-year,0
cust-207,38,17,20.94,month-to-month,0
cust-208,67,48,94.97,two-year,1
cust-209,35,24,60.75,month-to-month,1
cust-210,71,18,108.58,two-year,0
cust-211,47,48,97.83,month-to-month,1
cust-212,40,8,118.76,month-to-month,1
cust-213,56,58,83.80,month-to-month,0
cust-214,24,50,38.00,two-year,0
cust-215,56,60,35.08,one-year,0
cust-216,31,44,94.82,one-year,0
cust-217,44,27,59.35,month-to-month,1
cust-218,44,17,91.27,two-year,0
cust-219,30,19,61.22,month-to-month,0
cust-220,55,8,104.20,month-to-month,1
cust-221,69,6,66.88,month-to-month,0
cust-222,51,47,32.25,month-to-month,1
cust-223,22,69,24.81,two-year,0
cust-224,44,21,44.24,month-to-month,0
cust-225,21,59,26.73,one-year,1
cust-226,68,53,66.83,month-to-month,1
cust-227,40,28,119.63,month-to-month,1
cust-228,23,59,54.95,two-year,0
cust-229,29,60,117.97,two-year,0
cust-230,60,20,20.88,one-year,0
cust-231,53,24,24.65,two-year,0
cust-232,65,49,82.89,two-year,0
cust-233,72,49,47.97,two-year,0
cust-234,65,52,108.97,month-to-month,0
cust-235,72,62,42.50,two-year,0
cust-236,19,47,60.74,two-year,0
cust-237,51,48,59.25,month-to-month,0
cust-238,56,6,99.19,two-year,0
cust-239,37,55,105.18,one-year,0
cust-240,68,59,94.51,one-year,0
cust-241,60,62,63.55,one-year,0
cust-242,45,32,23.54,one-year,0
cust-243,49,4,118.48,one-year,0
cust-244,60,14,104.70,two-year,0
cust-245,44,54,80.11,two-year,1
cust-246,74,23,76.93,one-year,0
cust-247,55,2,24.60,one-year,1
cust-248,61,61,50.40,one-year,0
cust-249,74,67,64.68,month-to-month,1
cust-250,74,45,114.16,two-year,0
cust-251,21,51,95.71,two-year,0
cust-252,43,57,49.54,month-to-month,0
cust-253,27,51,43.74,month-to-month,1
cust-254,56,1,67.75,month-to-month,1
cust-255,57,18,115.39,one-year,0
cust-256,27,20,49.51,one-year,0
cust-257,54,20,35.12,two-year,0
cust-258,42,67,49.80,one-year,1
cust-259,58,4,69.13,month-to-month,0
cust-260,50,47,55.97,two-year,0
cust-261,57,29,90.11,one-year,0
cust-262,34,16,89.21,two-year,0
cust-263,77,4,81.68,month-to-month,1
cust-264,33,62,109.32,month-to-month,0
cust-265,49,63,73.60,two-year,1
cust-266,20,14,96.82,two-year,0
cust-267,35,17,71.04,month-to-month,0
cust-268,51,30,79.63,month-to-month,0
cust-269,42,20,67.59,one-year,0
cust-270,41,52,56.58,one-year,0
cust-271,48,51,27.46,one-year,0
cust-272,18,2,89.32,two-year,0
cust-273,39,10,41.37,one-year,0
cust-274,41,50,64.76,one-year,0
cust-275,46,60,30.42,one-year,0
cust-276,64,23,29.94,one-year,0
cust-277,51,22,103.93,month-to-month,0
cust-278,33,10,46.37,one-year,1
cust-279,63,39,56.91,one-year,0
cust-280,22,17,60.20,two-year,0
cust-281,60,32,27.94,two-year,0
cust-282,62,11,42.41,one-year,0
cust-283,61,42,99.53,one-year,0
cust-284,44,0,53.52,one-year,0
cust-285,51,36,24.92,month-to-month,1
cust-286,65,67,41.43,one-year,0
cust-287,27,29,40.06,one-year,0
cust-288,32,0,117.40,one-year,1
cust-289,63,2,35.70,month-to-month,1
cust-290,48,64,70.63,one-year,0
cust-291,77,23,108.09,month-to-month,1
cust-292,75,29,52.90,month-to-month,0
cust-293,53,20,29.15,one-year,0
cust-294,54,34,89.41,one-year,0
cust-295,70,8,34.70,two-year,0
cust-296,62,63,50.32,month-to-month,1
cust-297,44,53,95.41,month-to-month,0
cust-298,28,52,36.53,two-year,0
cust-299,49,46,116.13,two-year,0
cust-300,20,31,87.87,one-year,0
cust-301,66,58,63.68,one-year,0
cust-302,69,28,104.53,two-year,0
cust-303,70,58,52.95,two-year,0
cust-304,53,28,41.45,one-year,0
cust-305,72,52,81.15,one-year,0
cust-306,47,31,80.38,month-to-month,1
cust-307,43,43,51.11,month-to-month,0
cust-308,65,6,84.77,one-year,0
cust-309,63,44,28.36,month-to-month,0
cust-310,63,65,85.71,one-year,1
cust-311,53,32,102.24,one-year,0
cust-312,60,62,55.73,two-year,0
cust-313,29,45,116.66,two-year,1
cust-314,65,52,82.46,one-year,1
cust-315,43,14,47.98,one-year,0
cust-316,58,9,56.39,two-year,0
cust-317,38,34,116.04,one-year,1
cust-318,67,45,51.82,one-year,1
cust-319,48,54,57.89,two-year,0
cust-320,59,6,56.95,two-year,0
cust-321,41,2,48.88,two-year,0
cust-322,38,44,24.05,two-year,1
cust-323,59,55,72.44,one-year,0
cust-324,70,50,22.19,month-to-month,0
cust-325,32,33,20.62,two-year,0
cust-326,72,5,29.24,two-year,1
cust-327,26,16,50.58,one-year,0
cust-328,55,58,114.50,two-year,0
cust-329,61,71,49.48,one-year,0
cust-330,72,21,103.39,month-to-month,0
cust-331,54,23,76.30,month-to-month,1
cust-332,74,31,116.28,one-year,0
cust-333,54,45,26.58,month-to-month,1
cust-334,48,20,29.32,two-year,0
cust-335,48,48,69.88,one-year,0
cust-336,67,64,99.44,month-to-month,0
cust-337,30,48,68.86,month-to-month,0
cust-338,46,8,112.80,month-to-month,1
cust-339,60,8,110.14,one-year,0
cust-340,57,25,105.76,one-year,0
cust-341,63,26,29.26,month-to-month,0
cust-342,47,31,107.11,one-year,1
cust-343,21,12,96.75,two-year,0
cust-344,69,27,99.64,month-to-month,1
cust-345,60,64,81.01,one-year,0
cust-346,56,59,85.23,one-year,1
cust-347,64,58,77.72,one-year,0
cust-348,52,71,70.58,one-year,0
cust-349,75,13,92.13,month-to-month,0
cust-350,77,29,76.99,one-year,0
cust-351,74,31,59.30,two-year,0
cust-352,34,7,29.68,month-to-month,1
cust-353,51,32,57.34,one-year,0
cust-354,37,61,28.51,two-year,0
cust-355,59,3,98.42,two-year,0
cust-356,43,5,49.01,two-year,0
cust-357,69,58,70.65,month-to-month,1
cust-358,76,8,74.92,one-year,0
cust-359,35,39,44.38,month-to-month,0
cust-360,55,9,40.23,two-year,0
cust-361,68,16,105.88,one-year,0
cust-362,51,15,86.30,month-to-month,0
cust-363,67,54,47.26,month-to-month,0
cust-364,69,26,25.37,one-year,0
cust-365,34,59,44.91,one-year,0
cust-366,73,11,49.81,month-to-month,1
cust-367,42,27,31.49,one-year,0
cust-368,49,41,116.57,one-year,0
cust-369,63,34,80.69,month-to-month,0
cust-370,30,30,34.47,two-year,0
cust-371,63,20,56.07,month-to-month,1
cust-372,22,13,98.11,two-year,0
cust-373,49,13,111.21,two-year,0
cust-374,61,5,38.81,one-year,0
cust-375,54,5,101.75,month-to-month,1
cust-376,23,56,66.48,one-year,0
cust-377,55,14,84.74,two-year,0
cust-378,64,64,30.64,one-year,0
cust-379,55,16,83.62,two-year,0
cust-380,24,22,70.92,month-to-month,1
cust-381,76,60,85.85,one-year,0
cust-382,23,50,99.80,month-to-month,0
cust-383,74,60,114.91,month-to-month,0
cust-384,43,69,38.97,month-to-month,0
cust-385,53,29,90.51,two-year,0
cust-386,39,6,34.80,month-to-month,1
cust-387,21,53,95.55,one-year,0
cust-388,41,64,74.73,one-year,0
cust-389,74,36,33.35,one-year,0
cust-390,53,27,37.52,one-year,0
cust-391,44,16,61.99,month-to-month,0
cust-392,72,55,27.31,month-to-month,0
cust-393,36,35,52.40,one-year,0
cust-394,26,6,99.71,month-to-month,0
cust-395,45,61,93.21,two-year,0
cust-396,66,18,60.21,two-year,1
cust-397,30,39,113.21,month-to-month,0
cust-398,46,20,24.34,month-to-month,1
cust-399,64,64,42.91,month-to-month,0
cust-400,43,44,70.47,one-year,0
cust-401,64,39,87.84,two-year,0
cust-402,28,67,85.11,two-year,0
cust-403,43,51,89.99,two-year,0
cust-404,75,14,80.96,month-to-month,0
cust-405,76,68,45.89,one-year,1
cust-406,19,32,39.99,month-to-month,1
cust-407,18,68,110.18,two-year,0
cust-408,70,4,105.71,month-to-month,1
cust-409,51,32,93.57,two-year,0
cust-410,55,14,39.74,one-year,0
cust-411,43,21,46.90,month-to-month,1
cust-412,21,19,100.43,month-to-month,0
cust-413,37,7,111.04,two-year,0
cust-414,70,49,33.94,month-to-month,0
cust-415,65,3,107.64,month-to-month,1
cust-416,60,48,115.60,two-year,0
cust-417,61,70,55.81,month-to-month,0
cust-418,48,51,99.26,one-year,0
cust-419,19,67,101.26,one-year,0
cust-420,35,19,54.01,one-year,0
cust-421,75,53,109.68,two-year,0
cust-422,70,47,110.94,two-year,1
cust-423,27,18,45.08,one-year,0
cust-424,44,57,90.19,one-year,0
cust-425,72,69,49.12,month-to-month,0
cust-426,41,59,36.50,one-year,1
cust-427,64,32,46.21,one-year,0
cust-428,46,37,113.86,one-year,0
cust-429,38,49,69.05,two-year,0
cust-430,44,0,102.49,month-to-month,1
cust-431,39,49,107.80,two-year,0
cust-432,68,44,80.61,one-year,1
cust-433,49,35,75.61,one-year,0
cust-434,31,19,30.60,two-year,0
cust-435,53,21,69.63,one-year,0
cust-436,53,2,32.83,one-year,0
cust-437,40,22,94.78,two-year,0
cust-438,68,38,54.77,one-year,0
cust-439,63,44,74.26,one-year,0
cust-440,43,6,105.60,two-year,0
cust-441,29,63,76.02,two-year,1
cust-442,23,17,87.02,month-to-month,1
cust-443,76,50,30.66,month-to-month,0
cust-444,66,61,92.27,two-year,0
cust-445,47,35,111.10,month-to-month,0
cust-446,40,62,37.28,month-to-month,0
cust-447,29,5,108.77,two-year,0
cust-448,40,22,46.34,one-year,0
cust-449,75,26,37.26,two-year,1
cust-450,77,38,111.04,month-to-month,0
cust-451,32,17,99.01,month-to-month,0
cust-452,70,34,55.58,two-year,0
cust-453,43,45,64.45,two-year,0
cust-454,68,60,49.93,month-to-month,0
cust-455,70,12,58.04,month-to-month,0
cust-456,76,16,97.42,month-to-month,0
cust-457,61,27,60.23,one-year,0
cust-458,49,9,24.49,month-to-month,0
cust-459,38,55,105.23,one-year,0
cust-460,62,7,98.67,month-to-month,1
cust-461,25,67,55.72,month-to-month,0
cust-462,49,61,86.02,month-to-month,0
cust-463,50,59,64.17,month-to-month,0
cust-464,40,8,92.13,two-year,0
cust-465,67,2,69.14,one-year,1
cust-466,67,62,33.87,two-year,0
cust-467,71,46,51.87,one-year,0
cust-468,77,30,50.62,one-year,0
cust-469,28,45,36.02,one-year,0
cust-470,69,13,40.38,month-to-month,0
cust-471,77,58,107.62,two-year,0
cust-472,54,5,50.30,two-year,0
cust-473,60,0,103.16,two-year,0
cust-474,31,39,56.32,two-year,0
cust-475,61,15,49.81,one-year,1
cust-476,44,3,92.64,one-year,0
cust-477,23,4,119.40,one-year,0
cust-478,29,46,58.31,one-year,0
cust-479,42,56,22.60,one-year,0
cust-480,75,13,53.86,two-year,0
cust-481,39,15,53.93,one-year,0
cust-482,36,65,45.22,month-to-month,0
cust-483,56,46,113.38,two-year,0
cust-484,75,44,82.75,one-year,0
cust-485,31,36,43.18,one-year,0
cust-486,23,47,52.46,month-to-month,0
cust-487,38,6,21.40,month-to-month,0
cust-488,44,37,67.72,one-year,0
cust-489,73,24,60.17,one-year,0
cust-490,63,45,20.24,one-year,0
cust-491,63,22,37.30,month-to-month,0
cust-492,21,29,64.83,month-to-month,1
cust-493,51,31,24.31,one-year,0
cust-494,54,9,68.86,month-to-month,0
cust-495,48,0,21.81,one-year,0
cust-496,43,59,85.21,month-to-month,1
cust-497,57,15,85.58,one-year,0
cust-498,70,34,97.88,month-to-month,1
cust-499,70,0,64.50,month-to-month,1
cust-500,23,29,47.99,one-year,0
cust-501,29,58,41.49,month-to-month,0
cust-502,72,36,22.94,one-year,0
cust-503,66,37,117.09,two-year,0
cust-504,63,37,52.33,one-year,0
cust-505,25,69,29.74,month-to-month,0
cust-506,76,15,38.26,two-year,1
cust-507,26,21,91.41,month-to-month,0
cust-508,72,50,116.89,two-year,1
cust-509,72,62,27.70,month-to-month,1
cust-510,30,20,99.71,one-year,0
cust-511,61,30,112.46,month-to-month,1
cust-512,39,4,20.34,month-to-month,1
cust-513,32,22,52.12,month-to-month,1
cust-514,46,6,78.54,month-to-month,1
cust-515,44,53,65.35,month-to-month,0
cust-516,46,7,75.64,month-to-month,0
cust-517,72,49,97.87,month-to-month,1
cust-518,64,40,40.27,month-to-month,0
cust-519,25,7,74.55,one-year,0
cust-520,22,70,57.84,one-year,1
cust-521,55,2,82.15,one-year,0
cust-522,20,28,101.00,two-year,0
cust-523,49,45,92.89,month-to-month,0
cust-524,75,57,44.41,one-year,0
cust-525,37,41,45.21,month-to-month,1
cust-526,51,25,64.50,month-to-month,1
cust-527,73,67,104.48,one-year,0
cust-528,38,33,27.56,one-year,0
cust-529,25,30,118.70,one-year,0
cust-530,28,69,94.18,one-year,0
cust-531,66,65,112.02,two-year,0
cust-532,70,27,86.46,month-to-month,0
cust-533,34,24,68.81,month-to-month,1
cust-534,24,49,115.40,month-to-month,0
cust-535,24,24,60.75,month-to-month,0
cust-536,68,4,101.96,two-year,0
cust-537,56,41,24.56,month-to-month,1
cust-538,77,26,34.81,month-to-month,1
cust-539,60,68,104.31,month-to-month,1
cust-540,67,6,46.67,two-year,1
cust-541,62,37,84.13,month-to-month,1
cust-542,74,58,79.31,month-to-month,1
cust-543,33,1,111.24,two-year,0
cust-544,47,35,41.96,month-to-month,0
cust-545,19,26,96.00,one-year,1
cust-546,70,27,92.47,one-year,0
cust-547,59,45,45.78,one-year,0
cust-548,53,61,80.12,month-to-month,0
cust-549,26,28,104.78,two-year,0
cust-550,64,31,99.23,two-year,0
cust-551,71,55,48.62,one-year,0
cust-552,58,40,86.12,one-year,0
cust-553,34,48,112.36,month-to-month,1
cust-554,30,70,26.01,one-year,0
cust-555,29,17,85.96,two-year,1
cust-556,77,51,75.97,one-year,0
cust-557,71,49,73.30,one-year,0
cust-558,66,61,46.27,two-year,0
cust-559,52,51,51.10,two-year,0
cust-560,76,0,108.30,month-to-month,0
cust-561,37,17,86.32,one-year,0
cust-562,51,70,51.77,one-year,0
cust-563,55,61,39.53,two-year,0
cust-564,58,53,50.52,two-year,1
cust-565,73,2,113.29,one-year,1
cust-566,18,13,70.88,two-year,0
cust-567,37,26,100.57,two-year,0
cust-568,52,22,59.54,month-to-month,0
cust-569,74,42,86.48,one-year,0
cust-570,75,9,29.80,one-year,1
cust-571,72,39,80.65,month-to-month,0
cust-572,29,38,85.79,one-year,1
cust-573,54,54,22.17,two-year,0
cust-574,47,71,61.96,one-year,0
cust-575,50,24,65.89,month-to-month,1
cust-576,62,2,103.08,month-to-month,1
cust-577,76,59,94.80,one-year,0
cust-578,54,32,31.86,month-to-month,0
cust-579,52,63,87.35,month-to-month,0
cust-580,18,54,85.51,two-year,0
cust-581,19,28,24.92,one-year,0
cust-582,19,3,38.02,one-year,0
cust-583,31,34,50.52,one-year,0
cust-584,53,71,95.82,one-year,1
cust-585,75,40,105.19,one-year,0
cust-586,69,2,58.46,one-year,0
cust-587,42,61,38.08,one-year,1
cust-588,37,12,56.77,two-year,1
cust-589,57,51,93.42,month-to-month,1
cust-590,30,67,113.82,month-to-month,0
cust-591,46,35,45.04,two-year,0
cust-592,37,69,109.38,one-year,0
cust-593,47,68,79.53,two-year,0
cust-594,54,69,37.45,two-year,0
cust-595,23,64,105.52,two-year,0
cust-596,46,59,69.77,month-to-month,0
cust-597,64,22,23.32,one-year,0
cust-598,52,20,72.39,month-to-month,0
cust-599,42,65,54.37,month-to-month,1
cust-600,59,16,36.87,month-to-month,0
cust-601,18,31,79.73,two-year,0
cust-602,58,71,25.51,one-year,0
cust-603,46,14,64.58,month-to-month,0
cust-604,67,55,110.47,one-year,0
cust-605,32,60,81.05,two-year,1
cust-606,43,71,118.56,two-year,0
cust-607,51,60,94.86,month-to-month,0
cust-608,74,18,45.18,one-year,0
cust-609,37,10,99.32,month-to-month,1
cust-610,62,42,82.52,month-to-month,1
cust-611,61,20,29.86,one-year,0
cust-612,38,39,44.72,one-year,0
cust-613,31,53,90.05,one-year,0
cust-614,21,8,102.32,one-year,1
cust-615,75,45,50.32,month-to-month,0
cust-616,73,64,50.83,month-to-month,1
cust-617,73,47,21.90,one-year,0
cust-618,37,69,67.67,two-year,0
cust-619,61,33,60.12,two-year,1
cust-620,57,27,35.54,two-year,0
cust-621,51,9,76.22,two-year,0
cust-622,76,17,28.80,two-year,0
cust-623,67,60,99.13,one-year,0
cust-624,70,13,70.51,two-year,0
cust-625,77,39,106.32,two-year,0
cust-626,73,48,96.04,one-year,0
cust-627,56,55,31.97,two-year,1
cust-628,30,49,30.18,one-year,0
cust-629,34,49,44.80,one-year,0
cust-630,45,54,54.66,two-year,1
cust-631,19,59,89.25,month-to-month,0
cust-632,47,5,99.34,one-year,0
cust-633,59,1,119.00,two-year,0
cust-634,41,4,49.64,one-year,0
cust-635,35,30,98.80,month-to-month,1
cust-636,76,56,109.03,one-year,0
cust-637,57,65,37.71,two-year,0
cust-638,40,6,41.34,one-year,1
cust-639,24,1,60.06,month-to-month,1
cust-640,68,56,75.85,two-year,0
cust-641,27,1,58.09,month-to-month,0
cust-642,68,15,33.52,month-to-month,1
cust-643,29,46,40.65,one-year,0
cust-644,22,26,23.39,two-year,0
cust-645,62,16,83.74,two-year,0
cust-646,34,32,44.29,month-to-month,0
cust-647,72,18,119.45,two-year,1
cust-648,23,69,73.53,month-to-month,1
cust-649,38,40,21.94,two-year,0
cust-650,57,46,83.16,month-to-month,1
cust-651,46,23,61.85,one-year,0
cust-652,29,30,77.46,one-year,0
cust-653,38,54,86.49,month-to-month,0
cust-654,61,67,110.30,one-year,0
cust-655,26,0,79.57,month-to-month,1
cust-656,39,20,49.97,two-year,0
cust-657,25,55,62.99,two-year,0
cust-658,74,53,59.67,one-year,0
cust-659,58,52,93.31,month-to-month,1
cust-660,58,42,21.59,one-year,0
cust-661,74,52,79.09,one-year,1
cust-662,67,36,24.35,one-year,0
cust-663,23,3,96.38,two-year,0
cust-664,48,54,62.20,month-to-month,1
cust-665,29,49,77.65,two-year,0
cust-666,59,67,108.95,month-to-month,1
cust-667,77,7,97.84,one-year,0
cust-668,18,1,71.19,month-to-month,1
cust-669,75,66,110.65,month-to-month,0
cust-670,20,55,100.53,month-to-month,0
cust-671,73,14,57.87,one-year,0
cust-672,45,30,44.64,two-year,0
cust-673,67,42,60.60,month-to-month,0
cust-674,34,2,117.44,two-year,1
cust-675,29,24,63.26,month-to-month,1
cust-676,51,67,34.13,one-year,0
cust-677,62,28,44.16,month-to-month,1
cust-678,68,46,91.83,one-year,0
cust-679,53,56,64.33,month-to-month,0
cust-680,50,61,99.38,two-year,1
cust-681,19,1,92.67,one-year,0
cust-682,37,14,68.85,two-year,0
cust-683,28,26,44.37,two-year,0
cust-684,20,49,74.50,month-to-month,1
cust-685,61,31,41.26,one-year,0
cust-686,33,31,47.52,one-year,1
cust-687,38,4,32.03,month-to-month,0
cust-688,29,31,91.46,month-to-month,0
cust-689,33,62,84.10,two-year,0
cust-690,65,67,119.55,one-year,1
cust-691,59,28,20.17,one-year,0
cust-692,60,56,25.20,one-year,0
cust-693,50,9,49.17,two-year,0
cust-694,74,61,118.56,month-to-month,0
cust-695,26,43,59.94,month-to-month,1
cust-696,29,62,119.98,month-to-month,0
cust-697,58,30,41.68,one-year,1
cust-698,77,2,57.00,one-year,0
cust-699,18,17,75.66,one-year,0
cust-700,71,57,83.24,two-year,0
cust-701,54,28,66.12,one-year,0
cust-702,40,40,69.51,two-year,0
cust-703,31,50,89.02,one-year,0
cust-704,33,24,39.29,month-to-month,1
cust-705,49,52,34.76,month-to-month,0
cust-706,40,39,107.94,month-to-month,0
